profession_code;profession_name;active;category;date_creation;date_creation_mistake;date_modify;date_modify_mistake;deleted;etks
191246;Термоотделочник щетины и волоса;t;4;2015-04-21;0;2015-04-21;0;f;48
196127;Шихтовар;t;3-5;2015-04-21;0;2015-04-21;0;f;43
178839;Резчик бумаги, картона и целлюлозы;t;1-5;2015-04-21;0;2015-04-21;0;f;41
177041;Раймовщик дистилляционных печей;t;3-4;2015-04-21;0;2015-04-21;0;f;8
166329;Плавильщик обезвоженного кварцевого стекла;t;3-5;2015-04-21;0;2015-04-21;0;f;71
119741;Заварщик изоляторов;t;2-3;2015-04-21;0;2015-04-21;0;f;20
274858;Художник-шрифтовик телевидения;t;2;2015-04-21;0;2015-04-21;0;f;
167406;Подинщик;t;4;2015-04-21;0;2015-04-21;0;f;17
132657;Лаборант-микробиолог;t;3-4;2015-04-21;0;2015-04-21;0;f;1
132318;Кузнец - штамповщик на ротационных машинах;t;3-5;2015-04-21;0;2015-04-21;0;f;2
175923;Разварщик саломаса;t;3;2015-04-21;0;2015-04-21;0;f;55
438389;Мастер зеленого хозяйства;t;1;2015-04-21;0;2015-04-21;0;f;
167622;Подручный сталевара печи прямого восстановления железа;t;3-5;2015-04-21;0;2015-04-21;0;f;7
189941;Сушильщик фарфоровых, фаянсовых, керамических изделий и сырья;t;2-5;2015-04-21;0;2015-04-21;0;f;45
139586;Машинист очистительного оборудования;t;2-4;2015-04-21;0;2015-04-21;0;f;46
103940;Аппаратчик нитрозного процесса;t;3-6;2015-04-21;0;2015-04-21;0;f;25
112827;Бронировщик кабелей;t;3-5;2015-04-21;0;2015-04-21;0;f;19
115045;Выбивальщик отливок;t;1-3;2015-04-21;0;2015-04-21;0;f;2
159147;Оператор прецизионной резки;t;2-6;2015-04-21;0;2015-04-21;0;f;20
104695;Аппаратчик отжима;t;2-4;2015-04-21;0;2015-04-21;0;f;24
134489;Макетчик художественных макетов;t;3-6;2015-04-21;0;2015-04-21;0;f;61
199394;Электрохимобработчик;t;2-6;2015-04-21;0;2015-04-21;0;f;2
109947;Аппаратчик сушки;t;1-5;2015-04-21;0;2015-04-21;0;f;24
214984;Директор (заведующий) предприятия общественного питания;t;1;2015-04-21;0;2015-04-21;0;f;
158303;Оператор по искусственному осеменению животных и птицы;t;4, 6;2015-04-21;0;2015-04-21;0;f;70
146683;Монтер пути;t;1-6;2015-04-21;0;2015-04-21;0;f;3
176405;Разметчик деталей и материалов;t;1-3;2015-04-21;0;2015-04-21;0;f;48
